Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	24 (100.0%)	Apr-13, May-24	24	B.1.1.1	0	active today
UK4442	17 (100.0%)	May-10, May-24	17	B.1.1	0	active today
UK534	7 (100.0%)	Apr-13, May-13	7	B.1.1	11	0.4545
