Lineage name	England	Wales	Scotland	Northern_Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK133	2 (22.22%)	0 (0%)	7 (77.78%)	0 (0%)	Mar-22, Apr-25	9	B.1	29
UK462	3 (33.33%)	6 (66.67%)	0 (0%)	0 (0%)	Apr-01, May-11	9	B.1	13
UK90	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-06	9	B.1.1	18
UK645	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-08	9	B.2.1	46
UK352	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, May-03	8	B.1.1	21
UK271	1 (12.5%)	0 (0%)	7 (87.5%)	0 (0%)	Apr-02, Apr-26	8	B.1	28
UK5505	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-21	8	B.1, B.2	33
UK223	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-06	8	B.2.1	48
UK69	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-04, Apr-14	8	B.2.1	40
UK3875	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-12	8	B.1.1	12
UK188	7 (87.5%)	0 (0%)	1 (12.5%)	0 (0%)	Mar-07, Apr-15	8	B.1	39
UK358	2 (25.0%)	6 (75.0%)	0 (0%)	0 (0%)	Mar-20, Apr-09	8	B.2.1	45
UK5178	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-17	8	B.1.1.7	37
UK1013	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-15, Apr-16	8	B.1.1	38
UK5308	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-29, May-01	8	B.1.1	23
UK324	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-21	8	B.1.1	33
UK788	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-28, Mar-05	8	B.4	80
UK5174	7 (87.5%)	0 (0%)	0 (0%)	1 (12.5%)	Mar-26, Apr-07	8	B.1.1.7	47
UK733	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-22	8	B.2.1	32
UK311	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-11	8	B.1.1	43
UK739	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	8	B.4	77
UK480	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, May-19	8	B.1.1.10, B.1.1	5
UK5670	2 (25.0%)	6 (75.0%)	0 (0%)	0 (0%)	Mar-22, Apr-30	8	B.2	24
UK341	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-12	8	B.1	42
UK574	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-29	8	B.1.1	25
UK182	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-02	8	B.1.1	22
UK252	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-29	8	B.1.1	25
UK335	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-15	8	B.2.1	39
UK474	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-16	8	B.1.1	38
UK756	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-05	8	B.1.1	80
UK2904	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-06, Apr-22	8	B.1.p11	32
UK367	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-27	8	B.1	27
UK65	7 (87.5%)	0 (0%)	1 (12.5%)	0 (0%)	Mar-07, Apr-17	8	B.1.1	37
UK318	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-10	8	B	44
UK5563	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, Apr-22	8	B.2.2	32
UK350	2 (25.0%)	6 (75.0%)	0 (0%)	0 (0%)	Mar-31, Apr-20	8	B.1.1	34
UK5707	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-14	8	B.2	40
UK1849	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, Apr-29	8	B.1.1	25
UK560	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Apr-15, Apr-27	7	B.1.5	27
UK540	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, Apr-22	7	B.1.1.p15, B.1.1	32
UK292	4 (57.14%)	3 (42.86%)	0 (0%)	0 (0%)	Mar-21, Apr-13	7	B.2.1	41
UK5112	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-08	7	B.1, B.2.1	16
UK213	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-17	7	B.1.1	37
UK647	6 (85.71%)	0 (0%)	1 (14.29%)	0 (0%)	Mar-17, Mar-27	7	B.2, B.2.1	58
UK309	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, May-17	7	B.1.1	7
UK331	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-01	7	B.1.1	23
UK49	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, May-11	7	B.2.1	13
UK874	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-24	7	B.1	30
UK32	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, May-01	7	B.1.1	23
UK692	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Apr-03	7	B, B.2.1, B.2	51
UK5177	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-11	7	B.1.1.7	43
UK323	2 (28.57%)	0 (0%)	5 (71.43%)	0 (0%)	Mar-31, Apr-21	7	B.1	33
UK629	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-13	7	B.1	41
UK29	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-09, Apr-30	7	B.1.1	24
UK5261	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-01	7	B.1.1	23
UK510	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-16	7	B.1.1	38
UK634	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-18	7	B.1.1	36
UK451	0 (0%)	6 (85.71%)	1 (14.29%)	0 (0%)	Mar-20, Apr-05	7	B.2.1	49
UK536	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-09	7	B.1.1	45
UK1174	6 (85.71%)	0 (0%)	1 (14.29%)	0 (0%)	Apr-02, May-13	7	B.1.1	11
