Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK476	56 (100.0%)	Mar-31, May-06	56	B.1.1	7	0.0935
UK283	35 (100.0%)	Mar-25, May-04	35	B.1.1	9	0.1307
UK701	13 (100.0%)	Mar-22, May-01	13	B.1	12	0.2778
UK63	11 (100.0%)	Apr-09, May-05	11	B.1.1	8	0.325
