UK_lineage,taxon
UK2127,Wales/PHWC-31DA5/2020
UK1541,Wales/PHWC-31E0C/2020
UK1051,Wales/PHWC-31C4E/2020
UK3160,Wales/PHWC-31DB4/2020
UK2799,Wales/PHWC-31C7B/2020
UK2128,Wales/PHWC-32427/2020
UK2129,Wales/PHWC-31C11/2020
UK2130,Wales/PHWC-31965/2020
UK3161,Wales/PHWC-2FFA4/2020
UK2896,Wales/PHWC-32199/2020
UK5744,Wales/PHWC-2E0DF/2020
UK3162,Wales/PHWC-2E330/2020
UK4527,Wales/PHWC-31F09/2020
UK710,Wales/PHWC-29432/2020
UK250,Wales/PHWC-28C77/2020
UK2141,Wales/PHWC-289E9/2020
UK3226,Wales/PHWC-3074E/2020
UK1678,Wales/PHWC-311E5/2020
UK2897,Wales/PHWC-30E85/2020
UK1054,Wales/PHWC-30F46/2020
UK2142,Wales/PHWC-28A7D/2020
UK2143,Wales/PHWC-30A45/2020
UK2144,Wales/PHWC-30B42/2020
UK2145,Wales/PHWC-28A22/2020
UK2836,Wales/PHWC-314DD/2020
UK2146,Wales/PHWC-31437/2020
UK2147,Wales/PHWC-30B33/2020
UK1554,Wales/PHWC-28DFC/2020
UK5488,Wales/PHWC-28970/2020
UK388,Wales/PHWC-310CA/2020
UK2899,Wales/PHWC-318B3/2020
UK3227,Wales/PHWC-28BD4/2020
UK5489,Wales/PHWC-3090C/2020
UK2148,Wales/PHWC-31446/2020
UK2149,Wales/PHWC-28D38/2020
UK2150,Wales/PHWC-30DF1/2020
UK1624,Wales/PHWC-315DA/2020
UK1679,Wales/PHWC-30E67/2020
UK1555,Wales/PHWC-289F8/2020
UK2837,Wales/PHWC-28F32/2020
UK2151,Wales/PHWC-3076C/2020
UK83,Wales/PHWC-28CB3/2020
UK2871,Wales/PHWC-2FA1C/2020
UK3147,Wales/PHWC-308D2/2020
UK3228,Wales/PHWC-30993/2020
UK3229,Wales/PHWC-30A27/2020
UK4672,Wales/PHWC-307D5/2020
UK1625,Wales/PHWC-31929/2020
UK1556,Wales/PHWC-3169B/2020
UK17,Wales/PHWC-31103/2020
UK4533,Wales/PHWC-28D92/2020
UK2152,Wales/PHWC-28AC8/2020
UK3230,Wales/PHWC-28E35/2020
UK3231,Wales/PHWC-28B10/2020
UK3232,Wales/PHWC-30B7F/2020
UK4673,Wales/PHWC-30F55/2020
UK4534,Wales/PHWC-28B98/2020
UK2086,Wales/PHWC-308E1/2020
UK5732,Wales/PHWC-30CB8/2020
UK3233,Wales/PHWC-31464/2020
UK236,Wales/PHWC-30A90/2020
UK1188,Wales/PHWC-30FFB/2020
UK2699,Wales/PHWC-28CA4/2020
UK3234,Wales/PHWC-316E6/2020
UK3235,Wales/PHWC-30A36/2020
UK2153,Wales/PHWC-28BE3/2020
UK2838,Wales/PHWC-28F6F/2020
UK4535,Wales/PHWC-3175C/2020
UK538,Wales/PHWC-31570/2020
UK3236,Wales/PHWC-28BC5/2020
UK3237,Wales/PHWC-28BF2/2020
UK3238,Wales/PHWC-30BE8/2020
UK2154,Wales/PHWC-31473/2020
UK3239,Wales/PHWC-3117C/2020
UK3240,Wales/PHWC-28E08/2020
UK809,Wales/PHWC-28A5F/2020
UK2155,Wales/PHWC-28ECC/2020
UK910,Wales/PHWC-30D79/2020
UK2156,Wales/PHWC-30BD9/2020
UK2157,Wales/PHWC-31130/2020
UK3241,Wales/PHWC-30F37/2020
UK3242,Wales/PHWC-30975/2020
UK4366,Wales/PHWC-2899E/2020
UK2670,Wales/PHWC-28EF9/2020
UK2158,Wales/PHWC-312B5/2020
UK5745,Wales/PHWC-318A4/2020
UK4537,Wales/PHWC-30F82/2020
UK2872,Wales/PHWC-2EB1A/2020
UK417,Wales/PHWC-2CB67/2020
UK2804,Wales/PHWC-2EE5D/2020
UK2180,Wales/PHWC-2D3AA/2020
UK2805,Wales/PHWC-2ECAE/2020
UK4505,Wales/PHWC-2EF3C/2020
UK1795,Wales/PHWC-2CAA6/2020
UK3298,Wales/PHWC-2ED8D/2020
UK3299,Wales/PHWC-2A237/2020
UK2080,Wales/PHWC-2ED23/2020
UK5765,Wales/PHWC-2D401/2020
UK3300,Wales/PHWC-2A440/2020
UK3301,Wales/PHWC-2D6A1/2020
UK3146,Wales/PHWC-2ED6F/2020
UK3302,Wales/PHWC-2A2CE/2020
UK3303,Wales/PHWC-2D61A/2020
UK3032,Wales/PHWC-2EEB7/2020
UK1796,Wales/PHWC-2EC9F/2020
UK3304,Wales/PHWC-2D28F/2020
UK3305,Wales/PHWC-2C781/2020
UK4691,Wales/PHWC-2A3E9/2020
UK2842,Wales/PHWC-2A6E0/2020
UK2181,Wales/PHWC-2D5C2/2020
UK1557,Wales/PHWC-2D665/2020
UK1307,Wales/PHWC-2EE8A/2020
UK2900,Wales/PHWC-2ED9C/2020
UK2806,Wales/PHWC-2EC17/2020
UK3145,Wales/PHWC-2EA4A/2020
UK3306,Wales/PHWC-2D37D/2020
UK2182,Wales/PHWC-2EC26/2020
UK4541,Wales/PHWC-2EC71/2020
UK2183,Wales/PHWC-2D340/2020
UK1055,Wales/PHWC-2C903/2020
UK3307,Wales/PHWC-2A6B3/2020
UK2184,Wales/PHWC-2D2AD/2020
UK2185,Wales/PHWC-2C5D2/2020
UK291,Wales/PHWC-2C88E/2020
UK3308,Wales/PHWC-2D50E/2020
UK1629,Wales/PHWC-2CB49/2020
UK1797,Wales/PHWC-2D45C/2020
UK2186,Wales/PHWC-2A45F/2020
UK2187,Wales/PHWC-2EDE7/2020
UK4692,Wales/PHWC-2C709/2020
UK3309,Wales/PHWC-2A747/2020
UK2188,Wales/PHWC-2EED5/2020
UK3310,Wales/PHWC-2C8CA/2020
UK5517,Wales/PHWC-2A39E/2020
UK2189,Wales/PHWC-2A6FF/2020
UK2190,Wales/PHWC-2D46B/2020
UK2191,Wales/PHWC-2EEA8/2020
UK3312,Wales/PHWC-2A4B9/2020
UK3313,Wales/PHWC-2A228/2020
