Name,oldest_sequence,newest_sequence,number_taxa
UK6219,2020-04-04,2020-04-20,5
UK7303,2020-04-16,2020-04-16,1
UK2878,2020-03-30,2020-04-16,12
UK7465,2020-04-18,2020-04-18,1
UK1258,2020-03-28,2020-04-20,11
UK7466,2020-04-14,2020-04-14,2
UK5386,2020-04-03,2020-04-21,8
UK5735,2020-04-02,2020-04-20,10
UK7467,2020-04-16,2020-04-16,1
UK7468,2020-04-17,2020-04-17,1
UK7469,2020-04-15,2020-04-15,1
UK291,2020-03-30,2020-04-20,12
UK7470,2020-04-20,2020-04-20,1
UK5922,2020-04-07,2020-04-17,3
UK7186,2020-04-14,2020-04-14,1
UK7471,2020-04-19,2020-04-19,1
UK7472,2020-04-20,2020-04-20,1
UK7716,2020-04-08,2020-04-13,2
UK3898,2020-04-04,2020-04-20,7
UK7231,2020-04-16,2020-04-16,1
UK7164,2020-04-20,2020-04-20,1
UK7473,2020-04-17,2020-04-17,1
UK7474,2020-04-12,2020-04-14,2
UK7806,2020-03-16,2020-04-18,4
UK7411,2020-04-14,2020-04-14,1
UK7170,2020-04-17,2020-04-17,1
UK7475,2020-04-14,2020-04-14,1
UK7187,2020-04-18,2020-04-18,1
UK7304,2020-04-18,2020-04-18,1
UK7294,2020-04-18,2020-04-18,1
UK7305,2020-04-14,2020-04-14,1
UK351,2020-04-01,2020-04-16,10
UK7439,2020-04-12,2020-04-16,2
UK7201,2020-04-21,2020-04-21,1
UK146,2020-03-18,2020-04-16,14
UK7282,2020-04-15,2020-04-15,1
UK1218,2020-04-06,2020-04-14,4
UK7306,2020-04-15,2020-04-15,1
UK2869,2020-04-01,2020-04-19,7
UK3854,2020-03-02,2020-04-16,19
UK7476,2020-04-21,2020-04-21,1
UK7807,2020-04-07,2020-04-16,4
UK7307,2020-04-16,2020-04-16,1
UK7383,2020-04-21,2020-04-21,1
UK3728,2020-03-01,2020-04-20,18
UK3670,2020-03-09,2020-04-17,5
UK153,2020-03-21,2020-04-26,20
UK7477,2020-04-14,2020-04-14,1
UK3755,2020-03-31,2020-04-24,11
UK561,2020-04-04,2020-04-20,6
UK7308,2020-04-07,2020-04-07,1
UK7295,2020-04-18,2020-04-18,1
UK7478,2020-04-15,2020-04-15,1
UK7309,2020-04-20,2020-04-20,1
UK7479,2020-04-21,2020-04-21,1
UK2060,2020-04-08,2020-05-06,33
UK2810,2020-04-12,2020-05-06,19
UK3760,2020-04-04,2020-05-06,17
UK4315,2020-04-03,2020-05-04,4
UK3640,2020-04-22,2020-05-04,7
UK7266,2020-05-05,2020-05-05,3
UK44,2020-03-19,2020-05-01,31
UK3711,2020-04-10,2020-05-05,6
UK159,2020-03-18,2020-05-06,57
UK3662,2020-04-02,2020-05-04,8
UK7431,2020-05-04,2020-05-04,1
UK2572,2020-04-08,2020-05-06,33
UK7121,2020-04-10,2020-05-06,21
UK3839,2020-03-29,2020-05-06,6
UK7480,2020-05-03,2020-05-03,1
UK7621,2020-04-30,2020-04-30,1
UK71,2020-03-17,2020-04-30,4
UK7113,2020-04-10,2020-05-06,9
UK3707,2020-04-08,2020-05-04,15
UK7267,2020-05-02,2020-05-04,2
UK2571,2020-04-01,2020-05-05,14
UK7782,2020-04-13,2020-05-01,5
UK3703,2020-04-10,2020-05-03,10
UK3701,2020-03-20,2020-05-05,43
UK7622,2020-04-30,2020-04-30,1
UK3191,2020-03-28,2020-05-05,6
UK3704,2020-04-13,2020-05-03,8
UK7268,2020-05-02,2020-05-02,1
UK7350,2020-05-05,2020-05-05,1
UK2148,2020-04-19,2020-05-06,4
UK7481,2020-05-05,2020-05-05,1
UK4002,2020-03-29,2020-05-03,11
UK7580,2020-04-30,2020-04-30,1
UK74,2020-03-21,2020-05-08,62
UK7482,2020-05-06,2020-05-06,1
UK473,2020-03-29,2020-05-03,6
UK7269,2020-05-01,2020-05-01,1
UK1373,2020-03-28,2020-04-17,49
UK3888,2020-03-30,2020-04-16,15
UK7374,2020-04-15,2020-04-15,1
UK6794,2020-03-27,2020-04-15,4
UK7483,2020-04-12,2020-04-12,1
UK3759,2020-03-23,2020-04-30,24
UK30,2020-03-18,2020-05-04,190
UK41,2020-03-12,2020-04-27,51
UK7202,2020-04-12,2020-04-27,3
UK89,2020-03-13,2020-04-20,19
UK1763,2020-03-04,2020-04-08,3
UK4836,2020-04-03,2020-04-12,2
UK7364,2020-04-11,2020-04-11,1
UK4888,2020-03-16,2020-04-07,4
UK45,2020-03-13,2020-04-28,86
UK76,2020-03-16,2020-04-28,125
UK2900,2020-03-22,2020-04-29,23
UK3831,2020-03-28,2020-04-15,16
UK7579,2020-04-16,2020-04-16,1
UK77,2020-03-22,2020-04-17,12
UK634,2020-03-29,2020-04-16,6
UK976,2020-03-26,2020-04-18,16
UK131,2020-03-21,2020-04-16,21
UK7256,2020-04-16,2020-04-16,1
UK7902,2020-03-21,2020-04-16,36
UK3889,2020-03-26,2020-04-13,4
UK7225,2020-04-13,2020-04-13,1
UK1980,2020-03-29,2020-05-07,8
UK7484,2020-05-07,2020-05-07,1
UK72,2020-03-21,2020-05-08,26
UK2550,2020-04-07,2020-05-07,4
UK36,2020-03-31,2020-05-09,20
UK7903,2020-04-16,2020-05-08,7
UK7206,2020-04-30,2020-05-07,2
UK7257,2020-04-30,2020-05-08,3
UK7485,2020-05-07,2020-05-07,1
UK3761,2020-04-03,2020-05-08,22
UK7216,2020-05-07,2020-05-07,1
UK2903,2020-04-22,2020-05-06,2
UK22,2020-03-30,2020-05-07,16
UK7310,2020-03-29,2020-04-26,5
UK2279,2020-04-03,2020-04-17,9
UK7380,2020-03-31,2020-03-31,1
UK7486,2020-04-13,2020-04-13,1
UK5738,2020-03-29,2020-04-17,6
