sequence_name,sample_date,epi_week,country,adm1,adm2,lineage,lineages_version,uk_lineage,acc_lineage,del_lineage,phylotype,acc_introduction,del_introduction,sequencing_org_code
England/NORT-291EBD/2020,2020-05-06,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK203,B.1.X_404,B.1.X_861,UK203_1.1.1,B.1.X_489,B.1.X_489,NORT
England/NORT-292001/2020,2020-05-07,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.1.1,B.1.X_613,B.1.X_924,NORT
England/NORT-292317/2020,2020-05-09,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.1.1.1.1,B.1.X_613,B.1.X_924,NORT
England/NORT-28ABDE/2020,2020-04-15,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1,2020-05-19,UK36,B.1_1308,B.1_382,UK36_1,B.1_1733,B.1_1764,NORT
England/NORT-292678/2020,2020-05-13,20.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.2,B.1.X_613,B.1.X_924,NORT
England/NORT-28A558/2020,2020-04-12,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_178,UK5_1.1.1.1.2,B.1.X_613,B.1.X_821,NORT
England/NORT-28A5A3/2020,2020-04-12,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5329,B.1.X_2338,B.1.X_2795,,B.1.X_1452,B.1.X_2013,NORT
England/NORT-291E62/2020,2020-05-05,19.0,UK,UK-ENG,CUMBRIA,B.1.5,2020-05-19,UK226,B.1_740,B.1_758,UK226_1,B.1_266,B.1_266,NORT
England/NORT-28B302/2020,2020-05-03,19.0,UK,UK-ENG,TYNE AND WEAR,B.1.1,2020-05-19,UK5330,B.1.X_2337,B.1.X_2794,,B.1.X_1453,B.1.X_2014,NORT
England/NORT-29239F/2020,2020-05-10,20.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.3.1,B.1.X_613,B.1.X_924,NORT
England/NORT-28A4B5/2020,2020-04-11,15.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_178,UK5_1.1.1.1.2,B.1.X_613,B.1.X_822,NORT
England/NORT-2923EA/2020,2020-05-04,19.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.3,B.1.X_613,B.1.X_924,NORT
England/NORT-28AA1D/2020,2020-04-14,16.0,UK,UK-ENG,NORTH YORKSHIRE,A.5,2020-05-19,UK7,A_56,A_56,UK7_1,A_71,A_71,NORT
England/NORT-292450/2020,2020-05-04,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK203,B.1.X_404,B.1.X_861,UK203_1.1.1,B.1.X_489,B.1.X_489,NORT
England/NORT-28B38A/2020,2020-05-04,19.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5331,B.1.X_2333,B.1.X_2790,,B.1.X_1457,B.1.X_2018,NORT
England/NORT-292238/2020,2020-05-08,19.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_409,UK5_1.1.1,B.1.X_613,B.1.X_925,NORT
England/NORT-292739/2020,2020-05-14,20.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_761,UK5_1,B.1.X_613,B.1.X_1115,NORT
England/NORT-28A5D0/2020,2020-04-12,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK1020,B.1.X_2332,B.1.X_2789,UK1020_1,B.1.X_1458,B.1.X_2019,NORT
England/NORT-284EAE/2020,2020-04-23,17.0,UK,UK-ENG,COUNTY DURHAM,B.2.1,2020-05-19,UK688,B.2_1147,B.2_1198,UK688_1,B.2_745,B.2_771,NORT
England/NORT-28BA94/2020,2020-05-07,19.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5310,B.1.X_201,B.1.X_641,UK5310_1,B.1.X_1139,B.1.X_1677,NORT
England/NORT-28BF1D/2020,2020-05-10,20.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5325,B.1.X_152,B.1.X_592,UK5325_1,B.1.X_1267,B.1.X_1805,NORT
England/NORT-28BDD7/2020,2020-05-09,19.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5325,B.1.X_152,B.1.X_592,UK5325_1,B.1.X_1267,B.1.X_1805,NORT
England/SHEF-C1135/2020,2020-04-30,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_167,UK5_1.1.1.1.1,B.1.X_613,B.1.X_658,SHEF
England/SHEF-C7339/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK1177,B.1.X_234,B.1.X_677,UK1177_1,B.1.X_1020,B.1.X_1542,SHEF
England/SHEF-CA266/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK541,B.1.X_2331,B.1.X_2788,UK541_1,B.1.X_1459,B.1.X_2020,SHEF
England/SHEF-D32D3/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_166,UK5_1.1.1.1.1.3.1,B.1.X_613,B.1.X_659,SHEF
England/SHEF-C4F74/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK235,B.1.X_2330,B.1.X_2787,UK235_1,B.1.X_1460,B.1.X_2021,SHEF
England/SHEF-CFFF1/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK5332,B.1.X_2329,B.1.X_2786,UK5332_1,B.1.X_1461,B.1.X_2022,SHEF
England/SHEF-C2064/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-CEE8C/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.36,2020-05-19,UK51,B.1_8,B.1_8,UK51_1.1.1,B.1_5,B.1_5,SHEF
England/SHEF-C469D/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.1.1.1,B.1_1775,B.1_1807,SHEF
England/SHEF-C8857/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.36,2020-05-19,UK51,B.1_8,B.1_8,UK51_1,B.1_6,B.1_6,SHEF
England/SHEF-C9A05/2020,2020-05-03,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C7B6E/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_407,UK5_1.1.1.4.1.1,B.1.X_613,B.1.X_927,SHEF
England/SHEF-D075F/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_406,UK5_1.1.1.5.1.1,B.1.X_613,B.1.X_928,SHEF
England/SHEF-C62E2/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C69FC/2020,2020-05-11,20.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_407,UK5_1.1.1.4.1.1,B.1.X_613,B.1.X_927,SHEF
England/SHEF-C7AE9/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_405,UK5_1.1.1.6,B.1.X_613,B.1.X_929,SHEF
England/SHEF-CDC92/2020,2020-04-29,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_407,UK5_1.1.1.4.1,B.1.X_613,B.1.X_927,SHEF
England/SHEF-C9540/2020,2020-05-13,20.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-CFE12/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_406,UK5_1.1.1.5,B.1.X_613,B.1.X_928,SHEF
England/SHEF-D0889/2020,2020-05-04,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK112,B.1.X_133,B.1.X_573,UK112_1.1,B.1.X_1317,B.1.X_1855,SHEF
England/SHEF-CC097/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_166,UK5_1.1.1.1.1.3.1,B.1.X_613,B.1.X_659,SHEF
England/SHEF-C541A/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_407,UK5_1.1.1.4.1,B.1.X_613,B.1.X_927,SHEF
England/EXET-136C57/2020,2020-04-24,17.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK63,B.1.X_121,B.1.X_560,UK63_1.1,B.1.X_1361,B.1.X_1922,EXET
England/EXET-136BC3/2020,2020-04-27,18.0,UK,UK-ENG,DEVON,B.1.12,2020-05-19,UK5501,B.1.Y.X_10,B.1.Y.X_11,UK5501_1,B.1.Y.X_17,B.1.Y.X_17,EXET
England/EXET-136C48/2020,2020-04-27,18.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK476,B.1.X_2328,B.1.X_2785,UK476_1,B.1.X_1462,B.1.X_2023,EXET
England/EXET-136C0C/2020,2020-04-21,17.0,UK,UK-ENG,CORNWALL,B.1.1,2020-05-19,UK5146,B.1.X_543,B.1.X_1000,,B.1.X_22,B.1.X_22,EXET
England/EXET-136A20/2020,2020-05-05,19.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK63,B.1.X_121,B.1.X_560,UK63_1.1,B.1.X_1361,B.1.X_1922,EXET
England/EXET-136914/2020,2020-05-05,19.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5157,B.1.X_2638,B.1.X_3087,,B.1.X_73,B.1.X_73,EXET
England/EXET-136B4B/2020,2020-05-11,20.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5156,B.1.X_2650,B.1.X_3099,,B.1.X_61,B.1.X_61,EXET
England/EXET-1368EA/2020,2020-04-26,18.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5169,B.1.X_2521,B.1.X_2970,,B.1.X_190,B.1.X_190,EXET
England/EXET-136A11/2020,2020-05-06,19.0,UK,UK-ENG,PLYMOUTH,B.1.1,2020-05-19,UK511,B.1.X_2327,B.1.X_2784,UK511_1.1,B.1.X_1463,B.1.X_2024,EXET
England/EXET-136B87/2020,2020-05-04,19.0,UK,UK-ENG,DORSET,B.1,2020-05-19,UK726,B.1.Y.X_230,B.1.Y.X_239,UK726_1,B.1.Y.X_256,B.1.Y.X_266,EXET
England/EXET-136BF0/2020,2020-04-20,17.0,UK,UK-ENG,DEVON,B.1,2020-05-19,UK1703,B.1_28,B.1_29,UK1703_1,B.1_219,B.1_219,EXET
England/EXET-136B78/2020,2020-05-01,18.0,UK,UK-ENG,DEVON,B.1,2020-05-19,UK701,B.1_371,B.1_384,UK701_1,B.1_1539,B.1_1552,EXET
England/EXET-136B69/2020,2020-04-24,17.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5158,B.1.X_2594,B.1.X_3043,,B.1.X_117,B.1.X_117,EXET
England/EXET-1369D8/2020,2020-05-03,19.0,UK,UK-ENG,DEVON,B.1.12,2020-05-19,UK5501,B.1.Y.X_10,B.1.Y.X_11,UK5501_1,B.1.Y.X_17,B.1.Y.X_17,EXET
England/EXET-136A99/2020,2020-05-04,19.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK283,B.1.X_2326,B.1.X_2783,UK283_1.1,B.1.X_1464,B.1.X_2025,EXET
England/EXET-1368F9/2020,2020-04-29,18.0,UK,UK-ENG,DEVON,B.1,2020-05-19,UK701,B.1_371,B.1_384,UK701_1,B.1_1558,B.1_1571,EXET
England/EXET-136AE4/2020,2020-04-23,17.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK283,B.1.X_2326,B.1.X_2783,UK283_1.1,B.1.X_1464,B.1.X_2025,EXET
England/EXET-136A7B/2020,2020-04-27,18.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK881,B.1.X_541,B.1.X_998,UK881_1,B.1.X_28,B.1.X_28,EXET
England/EXET-136B96/2020,2020-05-03,19.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5333,B.1.X_2325,B.1.X_2782,,B.1.X_1465,B.1.X_2026,EXET
England/EXET-136AC6/2020,2020-05-13,20.0,UK,UK-ENG,DEVON,B.1.1,2020-05-19,UK5296,B.1.X_258,B.1.X_706,,B.1.X_912,B.1.X_1422,EXET
England/SHEF-CDBE0/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1,2020-05-19,UK5520,B.1.Y.X_229,B.1.Y.X_238,,B.1.Y.X_257,B.1.Y.X_267,SHEF
England/SHEF-CB10E/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C1C25/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C7928/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK5334,B.1.X_2324,B.1.X_2781,UK5334_1,B.1.X_1466,B.1.X_2027,SHEF
England/SHEF-C2C7F/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-CB7C0/2020,2020-05-03,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.5,2020-05-19,UK2539,B.1.X_118,B.1.X_557,UK2539_1,B.1.X_4,B.1.X_4,SHEF
England/SHEF-C35FB/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-CC9E7/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.9,2020-05-19,UK23,B_477,B_22,UK23_1.1.2.1.1,B_328,B_340,SHEF
England/SHEF-CE36F/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C85AB/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C27F6/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK5335,B.1.X_2323,B.1.X_2780,,B.1.X_1467,B.1.X_2028,SHEF
England/SHEF-C95B9/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_167,UK5_1.1.1.1.1,B.1.X_613,B.1.X_658,SHEF
England/SHEF-CC817/2020,2020-04-30,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK24,B.1.X_2322,B.1.X_2779,UK24_1,B.1.X_1468,B.1.X_2029,SHEF
England/SHEF-C35DD/2020,2020-04-30,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-D0898/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK419,B.1.X_2321,B.1.X_2778,UK419_1,B.1.X_1469,B.1.X_2030,SHEF
England/SHEF-C2671/2020,2020-05-03,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_407,UK5_1.1.1.4,B.1.X_613,B.1.X_927,SHEF
England/SHEF-C8A33/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C2477/2020,2020-05-01,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.2,B.1.X_613,B.1.X_926,SHEF
England/SHEF-D0388/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK1222,B.1.X_2320,B.1.X_2777,UK1222_1,B.1.X_1470,B.1.X_2031,SHEF
England/SHEF-C707E/2020,2020-05-03,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_167,UK5_1.1.1.1.1,B.1.X_613,B.1.X_658,SHEF
England/SHEF-C7454/2020,2020-05-03,19.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_408,UK5_1.1.1.3.1.1.1,B.1.X_613,B.1.X_926,SHEF
England/SHEF-C0989/2020,2020-05-02,18.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK5334,B.1.X_2324,B.1.X_2781,UK5334_1,B.1.X_1466,B.1.X_2027,SHEF
Scotland/EDB4146/2020,2020-04-18,16.0,UK,UK-SCT,DUNDEE,B.1,2020-05-19,UK36,B.1_1308,B.1_80,UK36_1.1.1,B.1_1733,B.1_1747,EDIN
Scotland/EDB4153/2020,2020-04-18,16.0,UK,UK-SCT,ANGUS,B.1,2020-05-19,UK36,B.1_1308,B.1_80,UK36_1.1.1,B.1_1733,B.1_1747,EDIN
Scotland/EDB5363/2020,2020-05-24,22.0,UK,UK-SCT,MIDLOTHIAN,B.1.5,2020-05-19,UK1539,B.1_231,B.1_238,UK1539_1,B.1_495,B.1_495,EDIN
Scotland/EDB4149/2020,2020-04-18,16.0,UK,UK-SCT,DUNDEE,B.1.5,2020-05-19,UK1548,B.1_230,B.1_237,UK1548_1.1,B.1_496,B.1_496,EDIN
Scotland/EDB808/2020,2020-04-03,14.0,UK,UK-SCT,SCOTTISH BORDERS,B.1,2020-05-19,UK175,B.1_1298,B.1_1316,UK175_1,B.1_1994,B.1_2037,EDIN
Scotland/EDB5349/2020,2020-05-23,21.0,UK,UK-SCT,DUMFRIES AND GALLOWAY,B.1.40,2020-05-19,UK21,B.1.Y.X_70,B.1.Y.X_79,UK21_1.1.1,B.1.Y.X_66,B.1.Y.X_66,EDIN
Scotland/EDB4150/2020,2020-04-18,16.0,UK,UK-SCT,DUNDEE,B.1.5,2020-05-19,UK1548,B.1_230,B.1_237,UK1548_1.1,B.1_496,B.1_496,EDIN
Scotland/EDB5368/2020,2020-03-30,14.0,UK,UK-SCT,,B.1.69,2020-05-19,UK502,B.1_335,B.1_343,UK502_1.1,B.1_1957,B.1_1999,EDIN
Scotland/EDB5351/2020,2020-05-23,21.0,UK,UK-SCT,MIDLOTHIAN,B.1.5,2020-05-19,UK2052,B.1_229,B.1_236,,B.1_497,B.1_497,EDIN
Scotland/EDB5370/2020,2020-03-29,14.0,UK,UK-SCT,,B.1.36,2020-05-19,UK51,B.1_8,B.1_8,UK51_1,B.1_7,B.1_7,EDIN
Scotland/EDB4152/2020,2020-04-17,16.0,UK,UK-SCT,DUNDEE,B.1.5,2020-05-19,UK1548,B.1_230,B.1_237,UK1548_1.1,B.1_496,B.1_496,EDIN
Scotland/EDB5348/2020,2020-05-23,21.0,UK,UK-SCT,MIDLOTHIAN,B.1.5,2020-05-19,UK2053,B.1_228,B.1_235,,B.1_498,B.1_498,EDIN
Scotland/EDB816/2020,2020-04-03,14.0,UK,UK-SCT,SCOTTISH BORDERS,B.1,2020-05-19,UK175,B.1_1298,B.1_1316,UK175_1,B.1_1994,B.1_2037,EDIN
Scotland/EDB805/2020,2020-04-03,14.0,UK,UK-SCT,SCOTTISH BORDERS,B.1,2020-05-19,UK175,B.1_1298,B.1_1316,UK175_1,B.1_1994,B.1_2037,EDIN
Scotland/EDB5376/2020,2020-03-31,14.0,UK,UK-SCT,,B.1,2020-05-19,UK1723,B.1_741,B.1_759,UK1723_1,B.1_248,B.1_248,EDIN
Scotland/EDB5358/2020,2020-05-24,22.0,UK,UK-SCT,MIDLOTHIAN,B.1.5,2020-05-19,UK2054,B.1_227,B.1_234,,B.1_499,B.1_499,EDIN
Scotland/EDB554/2020,2020-03-31,14.0,UK,UK-SCT,SCOTTISH BORDERS,B.1,2020-05-19,UK175,B.1_1298,B.1_1316,UK175_1,B.1_1994,B.1_2037,EDIN
Scotland/EDB5373/2020,2020-03-30,14.0,UK,UK-SCT,,B.1,2020-05-19,UK679,B.1.Y.X_21,B.1.Y.X_22,UK679_1,B.1.Y.X_245,B.1.Y.X_255,EDIN
Scotland/EDB1310/2020,2020-04-09,15.0,UK,UK-SCT,SCOTTISH BORDERS,B.1,2020-05-19,UK175,B.1_1298,B.1_1316,UK175_1,B.1_1994,B.1_2037,EDIN
England/CAMB-1B2EB7/2020,2020-05-21,21.0,UK,UK-ENG,OTHER,B.1.1,2020-05-19,UK5336,B.1.X_2319,B.1.X_2776,,B.1.X_1471,B.1.X_2032,CAMB
England/CAMB-1B2F96/2020,2020-05-22,21.0,UK,UK-ENG,SUFFOLK,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_165,UK5_1.1.1.1.1.4.1.1,B.1.X_613,B.1.X_660,CAMB
England/CAMB-1B2FE1/2020,2020-05-22,21.0,UK,UK-ENG,ESSEX,B.1.1.4,2020-05-19,UK53,B.1.X_540,B.1.X_997,UK53_1,B.1.X_29,B.1.X_29,CAMB
England/CAMB-1B31F9/2020,2020-05-22,21.0,UK,UK-ENG,SUFFOLK,B.1.5,2020-05-19,UK174,B.1_85,B.1_92,UK174_1.1.1.1,B.1_894,B.1_894,CAMB
England/CAMB-1B3232/2020,2020-05-21,21.0,UK,UK-ENG,LONDON,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_164,UK5_1.1.1.1.1,B.1.X_613,B.1.X_661,CAMB
England/CAMB-1B300B/2020,2020-05-22,21.0,UK,UK-ENG,HERTFORDSHIRE,B.1.1.10,2020-05-19,UK326,B.1.X_19,B.1.X_449,UK326_1.1,B.1.X_517,B.1.X_534,CAMB
England/CAMB-1B3029/2020,2020-05-21,21.0,UK,UK-ENG,SUFFOLK,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_163,UK5_1.1.1.1.1.5.1,B.1.X_613,B.1.X_662,CAMB
England/CAMB-1B2FA5/2020,2020-05-23,21.0,UK,UK-ENG,HERTFORDSHIRE,B.1.1,2020-05-19,UK128,B.1.X_2318,B.1.X_2775,UK128_1.1,B.1.X_1472,B.1.X_2033,CAMB
England/CAMB-1B31DB/2020,2020-05-22,21.0,UK,UK-ENG,SUFFOLK,B.1.5,2020-05-19,UK174,B.1_85,B.1_92,UK174_1.1.1.1,B.1_894,B.1_894,CAMB
England/CAMB-1B3038/2020,2020-05-21,21.0,UK,UK-ENG,CAMBRIDGESHIRE,B.1.1,2020-05-19,UK755,B.1.X_2349,B.1.X_691,UK755_1.1,B.1.X_983,B.1.X_1502,CAMB
England/CAMB-1B2FB4/2020,2020-05-23,21.0,UK,UK-ENG,HERTFORDSHIRE,B.1.1,2020-05-19,UK128,B.1.X_2318,B.1.X_2775,UK128_1,B.1.X_1472,B.1.X_2033,CAMB
England/CAMB-1B3047/2020,2020-05-21,21.0,UK,UK-ENG,ESSEX,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_163,UK5_1.1.1.1.1.5.1,B.1.X_613,B.1.X_662,CAMB
England/CAMB-1B2FF0/2020,2020-05-22,21.0,UK,UK-ENG,ESSEX,B.1.1,2020-05-19,UK147,B.1.X_2339,B.1.X_564,UK147_1,B.1.X_1355,B.1.X_1894,CAMB
England/CAMB-1B3214/2020,2020-05-22,21.0,UK,UK-ENG,SUFFOLK,B.1.5,2020-05-19,UK174,B.1_85,B.1_92,UK174_1.1.1.1,B.1_894,B.1_894,CAMB
England/CAMB-1B3250/2020,2020-05-21,21.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK67,B.1.X_2317,B.1.X_2774,UK67_1.1,B.1.X_1473,B.1.X_2034,CAMB
England/CAMB-1B301A/2020,2020-05-22,21.0,UK,UK-ENG,ESSEX,B.1.1,2020-05-19,UK147,B.1.X_2339,B.1.X_564,UK147_1,B.1.X_1355,B.1.X_1895,CAMB
England/SHEF-CA002/2020,2020-04-17,16.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK2905,B.1.X_2316,B.1.X_2773,UK2905_1.1,B.1.X_1474,B.1.X_2035,SHEF
England/SHEF-CB809/2020,2020-04-14,16.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1,2020-05-19,UK343,B.1_1297,B.1_1315,UK343_1.1,B.1_1995,B.1_2038,SHEF
England/SHEF-C65AD/2020,2020-04-14,16.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK5161,B.1.X_2560,B.1.X_3009,,B.1.X_151,B.1.X_151,SHEF
England/SHEF-C42B7/2020,2020-04-16,16.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK419,B.1.X_2321,B.1.X_2778,UK419_1,B.1.X_1469,B.1.X_2030,SHEF
England/SHEF-C3C50/2020,2020-04-24,17.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1,2020-05-19,UK194,B.1.X_2315,B.1.X_2772,UK194_1,B.1.X_1475,B.1.X_2036,SHEF
England/SHEF-CE9C7/2020,2020-04-17,16.0,UK,UK-ENG,SOUTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_406,UK5_1.1.1.5,B.1.X_613,B.1.X_928,SHEF
