Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK2906	9 (100.0%)	May-12, May-22	9	B.1	3	0.4167
UK806	8 (100.0%)	Apr-26, May-08	8	B.1.1.10	17	0.1008
UK2045	7 (100.0%)	Apr-24, May-09	7	B.1	16	0.1562
UK2464	7 (100.0%)	Apr-24, May-25	7	B.1.p11	0	active today
